node,decision,confidence,reason
ingenieria y construccion de matrices,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
inner mongolia baotou steel union,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
inner mongolia dian tou energy,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
inner mongolia east electric power,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
inner mongolia huineng coal & electrical,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
inner mongolia mengdian huaneng thermal power,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
inner mongolia yuan xing energy,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
international gas product shipping jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
j resources asia pasifik tbk,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
japan organization for metals and energy security,keep,low,"real quasi-governmental body (JOGMEC) - genuine entity, but unclear if it should count as a company node vs a policy/stockpiling agency; needs your judgment on scope"
jasa marga persero tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
jatim taman steel manufacturing pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
jembo cable co tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
jiangmen jiangci electric engineering enterprise,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
jiangsu baichuan high-tech new materials,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
jiangsu lixing general steel ball,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
jiangsu tongguang electronic wire and cable,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
jiangsu yuxing industrial & trading,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
jiangsu zhenjiang new energy equipment,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
jiangxi black cat carbon black,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
jiangxi xiushui ganbei tungsten industry,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
jilin province tonghua iron & steel international trade,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
jinneng holding shanxi coal industry,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
joist del golfo sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
joist estructuras sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
jordan cement factories co psc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
kalisch fierro y acero sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
kao hsing chang iron & steel,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
kepco plant service & engineering,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
khabarovskaya toplivnaya kompaniya ooo khtk ooo,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
kinugawa rubber industrial co ltd/old,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
kmi wire & cable tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
korea district heating,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
korea electronic power industrial development,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
krakatau steel persero tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
kratos defense & security solutions,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
ksb se & co kgaa,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
kunming metallurgical yuxin silicon material,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
kunming yuntong electromotion tool equipments,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
liaoning shixing pharmaceutical & chemical,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
ljg green source energy alpha srl,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
lotte chemical titan holding bhd,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
lotte chemical titan tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
lti steel wire rope shanghai,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
magnitogorsk iron & steel works pjsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
mahle behr gmbh & co kg,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
malaysian npk fertilizer sdn bhd,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
malaysian refining co sdn bhd,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
manufacturera de ciguenales de mexico sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
maquinados automotrices y talleres industriales de celaya sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
maritime & port authority of singapore,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
mark dynamics indonesia tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
mcc liaoning dragon pipe industries,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
medco daya abadi lestari pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
medco energi internasional tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
mellitah oil & gas bb,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
michu district 8 redevelopment and maintenance business association,remove,high,"reads as a local Korean disaster-recovery/maintenance civic association, same genre as the confirmed howon noise example, not a company"
milplan engenharia construcoes e montagens ltda,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
minmetals shipping & forwarding shanghai,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
mirfa international power & water co pjsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
mitra energi persada tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
mitra international resources tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
mitsui chemicals & skc polyurethanes,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
mitsui sumitomo metal mining brass & copper,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
miwon spain sl sociedad unipersonal,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
miwon specialty chemical co ltd/new,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
mol hungarian oil & gas,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
multistrada arah sarana tbk p,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
multivac sepp haggenmueller se & co kg,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
nam song hau tradinginvesting petroleum jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
nan ya printed circuit board,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
nanjing julong science & technology,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
nanjing wavelength opto-electronic science & technology,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
national jsc naftogaz of ukraine,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
national shipping co of saudi arabia/the,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
nec networks & system integration,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
nelsen steel & wire lp,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
nikken koatsu heiwa kido kk,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
ningbo free trade zone shoude trade,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
ningbo gaofa automotive control system,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
ningbo hangzhou bay bridge development,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
ningbo ronbay new energy technology,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
ninh binh thermal power jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
nippon corrosion engineering co ltd/the,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
nusa konstruksi enjiniring tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
nvh india anantapur auto parts pvt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
nylco mexicana sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
oil and gas holding co bscc/the,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
okinawa electric pizers co inc/the,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
ontic engineering & manufacturing uk,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
orbia advance corp sab de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
oriental union chemical,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
otokar otomotiv ve savunua sanayi a s,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
otransportes aereos pegaso sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
pan asia engineers & constructors,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
pangang group panzhihua steel vanadium,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
pangang group vanadium titanium & resources,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
panzhihua iron & steel group chengdu panel,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
parque eolico cabo leones isa,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
pelabuhan indonesia iv persero pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
pelat timah nusantara tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
peliculas plasticas sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
perusahaan gas negara tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
perusahaan perseroan persero pt perusahaan listrik negara,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
perusahaan sadur timah malaysia perstima bhd,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
petroleum equipment assembly & metal structure jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
petroleum industrial & civil construction jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
petroleum pipeline & tank construction jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
petrovietnam ca mau fertilizer jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
petrovietnam drilling & well services jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
petrovietnam fertilizer & chemicals jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
petrovietnam nhon trach 2 power jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
petrovietnam oil nam dinh jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
petrovietnam oil phu yen jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
pha lai thermal power jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
philippines department of transportation,keep,medium,"national government department, not a commercial supply-chain entity"
phoenix contact gmbh & co kg,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
phuong dong viet transportation oil jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
pingdingshan tianan coal industry qikuan,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
pinturas valmex sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
pires do rio citep comercio e industria de ferro e aco ltda,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
placas laminas y perfiles de veracruz sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
plains all american pipeline lp,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
plasmar plastik ve kimya sanayi ve dis ticaret as,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
plasticos el panda sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
plastiques du val de loire,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
plesa anahuac y cias sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
polskie gornictwo naftowe i gazownictwo,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
port authority of thailand,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
post & telecommunication equipment jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
power construction corp of china,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
power engineering consulting jsc no 4,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
press metal aluminium holdings bhd,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
productos laminados de monterrey sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
productos rivial sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
prosperity steel united singapore pte,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
proveedora de materiales plasticos sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
ptsc thanh hoa port jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
ptt exploration & production pcl,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
ptt oil & retail business pcl,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
public transport authority of western australia,keep,low,"real statutory transit authority - operationally real, but unclear fit as a commercial supply-chain node vs a regulatory body; needs your judgment on scope"
pupuk indonesia holding co pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
qatar electricity & water co qsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
qinhuangdao shouqin steel processing distribution,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
quang ninh thermal power jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
rdg acos do brasil s/a,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
resource alam indonesia tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
rizhao steel yingkou medium plate,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
san francisco municipal transportation agency,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
sansteel minguang co ltd fujian,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
sarralle steel melting plant sl,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
se san 4a hydropower jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
seah precision mexico sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
semen indonesia persero tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
seneca wire & manufacturing co/the,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
seoyon e-hwa automotive slovakia sro,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
seoyon e-hwa summit automotive anantapur pvt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
shaanxi hanzhong iron & steel,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
shan xi hua yang new materials,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
shandong lubei enterprise group general,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
shanghai bao steel pudong international trading,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
shanghai baosteel & arcelor tailor metal,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
shanghai chlorine & alkali creative,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
shanghai gkn huayu driveline systems,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
shanghai pacific chemical group huai'an sodium sulfate anhydrous,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
shanghai pacific chemical group huai'ar,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
shanghai research institute of chemical industry,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
shanghai shougang steel & iron trading,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
shanghai stal precision stainless steel,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
shanxi coal import & export,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
shanxi lu'an environmental energy development,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
shanxi lu'an mining group rizhao international trading,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
shenzhen kstar science and technology,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
shin foong specialty & applied materials,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
shougang changzhi iron & steel,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
shougang shuicheng iron & steel,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
sistemas automotrices de mexico sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
slavneft oil & gas co ojsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
sociedad minera cerro verde saa,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
sociedad quimica y minera de chile,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
societe algerienne de l'electricite et du gaz,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
societe nationale de i electricite & du gaz,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
societe noiseenne d'outillage de presse sasu,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
societe tunisienne de l'electricite et du gaz,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
solusi bangun indonesia tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
son ha sai gon jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
south asia lpg co pvt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
stahl de mexico sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
star energy geothermal wayang windu,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
state grid anhui electric power,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
state grid corp of china,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
state grid henan electric power,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
state grid hubei electric power,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
state grid integrated energy service,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
state grid jiangxi electric power,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
state grid jilin electric power,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
state grid shandong electric power,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
state grid shanghai municipal electric power,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
state grid shanxi electric power,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
state grid sichuan electric power,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
state nuclear electric power planning design & research institute,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
state of south australia department of planning transportation,remove,medium,government department; verbose name reads like an extracted article fragment rather than a registered entity
state oil co of the azerbaijan republic,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
state power investment corp shanxi aluminum,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
steel pipe industry of indonesia pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
sufa technology industry co ltd cnnc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
sumi indo kabel tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
supreme cable manufacturing corp tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
surtidora de alambres y aceros del centro sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
surya esa perkasa tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
suzhou jin hong shun auto parts,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
suzhou shougang longxing steel processing distribution,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
ta ya electric wire & cable,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
tachia yung ho machine industry,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
tai-i electric wire & cable,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
takigami steel construction co ltd/the,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
talleres y aceros sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
tan chong motor holdings bhd,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
tangshan beishiti iron & steel group fufeng steel,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
tatsuta electric wire and cable,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
tcl rechi huizhou refrigeration equipment,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
tcl zhonghuan renewable energy technology,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
